Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
Bulletin of Economic Research,Wiley-Blackwell Publishing,1402,B,0307-3378,1467-8586,,3,
Bulletin of Indonesian Economic Studies,Taylor & Francis Online,1402,B,0007-4918,1472-7234,,3,
Business Economics,Springer International Publishing,1402,B,0007-666X,1554-432X,,3,
Business Ethics: A European review,Wiley-Blackwell Publishing,1503,B,0962-8770,1467-8608,,3,Education
Business Horizons,Elsevier,1503,B,0007-6813,1873-6068,,3,Education
Business Process Management Journal,Emerald Group Publishing,806,B,1463-7154,1758-4116,,3,Information Systems
Business Research Quarterly,Asociacion Cientifica de Economia y Direccion de la Empresa,1503,B,2340-9436,,,3,Education
Business Strategy Review,Wiley-Blackwell Publishing,1503,B,0955-6419,1467-8616,,3,Education
"Cambridge Journal of Regions, Economy and Society",Oxford University Press,1402,B,1752-1378,1752-1386,,3,
Canadian Bar Review,Canadian Bar Association,180105,B,0008-3003,,,3,
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,Wiley-Blackwell Publishing,1503,B,0825-0383,1936-4490,,3,Education
Canadian Journal of Development Studies / Revue canadienne d'etudes du developpement,Taylor & Francis Online,1402,B,0225-5189,2158-9100,,3,
Canadian Public Policy / Analyse de Politiques,University of Toronto Press,1503,B,0317-0861,1911-9917,,3,Education
Canterbury Law Review,University of Canterbury,180105,B,0112-0581,,,3,
Capital and Class,Sage Publications,1499,B,0309-8168,2041-0980,,3,
Career Development International,Emerald Group Publishing,1503,B,1362-0436,1758-6003,,3,Education
Charity Law and Practice Review,Key Haven Publications,180105,B,0966-4041,,,3,
China and World Economy,Wiley-Blackwell Publishing,1402,B,1671-2234,1749-124X,,3,
China Information,Sage Publications,1503,B,0920-203X,1741-590X,,3,Education
China Journal of Accounting Research,Elsevier,1501,B,1755-3091,2214-1421,,3,
China Journal of Accounting Studies,Taylor & Francis Online,1501,B,2169-7213Â ,2169-7221,,3,
Climate and Development,Taylor & Francis Online,1499,B,1756-5529,1756-5537,,3,
Climate Change Economics,World Scientific Publishing,1499,B,2010-0078,,,3,
Cogent Economics and Finance,Taylor & Francis,1402,B,2332-2039,,,3,
Common Law World Review,Sage Publications,180105,B,1473-7795,1740-5556,,3,
Common Market Law Review,Kluwer Law International,180105,B,0165-0750,1875-8320,,3,
Communication & Sport,Sage Publications,1504,B,2167-4809,2167-4795,,3,
Communications in Statistics: Theory and Methods,Taylor & Francis Online,104,B,0361-0926,1532-415X,,3,
Community Development Journal,Oxford University Press,1503,B,0010-3802,1468-2656,,3,Education
Company Lawyer,Sweet & Maxwell,180105,B,0144-1027,,,3,
Comparative Economic Studies,Springer International Publishing,1499,B,0888-7233,1478-3320,,3,
Comparative Political Studies,Sage Publications,1599,B,0010-4140,1552-3829,,3,
Competition and Change: The journal of global business and political economy,Sage Publications,1503,B,1024-5294,1477-2221,,3,Education
Competition and Regulation in Network Industries,Sage Publications,1402,B,1783-5917,,,3,
ComptabilitÃ©Â ContrÃ´leÂ Audit,Association Francophone de ComptabilitÃ© FRANCE,1501,B,1262-2788,2313-514X,,3,
Computational Economics,Springer International Publishing,1499,B,0927-7099,1572-9974,,3,
Computational Management Science,Springer International Publishing,1503,B,1619-697X,1619-6988,,3,Education
Computer Law & Security Review,Elsevier,180105,B,0267-3649,,,3,
Computer Supported Cooperative Work,Springer International Publishing,806,B,0925-9724,1573-7551,,3,Information Systems
Conflict Management and Peace Science,Sage Publications,1503,B,0738-8942,1549-9219,,3,Education
Conflict Resolution Quarterly,Wiley-Blackwell Publishing,1503,B,1536-5581,1541-1508,,3,Education
Constitutional Political Economy,Springer International Publishing,1402,B,1043-4062,1572-9966,,3,
Construction Innovation,Emerald Group Publishing,1504,B,1471-4175,1477-0857,,3,
Construction Law Journal,Sweet & Maxwell,180105,B,0267-2359,,,3,
"Consumption, Markets and Culture",Taylor & Francis Online,1505,B,1025-3866,1477-223X,,3,
Contemporary Economic Policy,Wiley-Blackwell Publishing,1402,B,1074-3529,1465-7287,,3,
Contributions to Political Economy,Oxford University Press,1402,B,0277-5921,1464-3588,,3,
Copyright Society of the USA Journal,Society of the USA,180105,B,0886-3520,,,3,
Cornell International Law Journal,Cornell Society of International Law,180105,B,0010-8812,,,3,
Corporate Communications,Emerald Group Publishing,1505,B,1356-3289,1758-6046,,3,
Corporate Governance International,The University of Melbourne,180105,B,1028-9666,,,3,
Corporate Ownership and Control ,Virtus Interpress,1501,B,1727-9232,1810-3057,,3,
"Crime, Law and Social Change",Springer International Publishing,180105,B,0925-4994,1573-0751,,3,
Critical Asian Studies,Taylor & Francis Online,1503,B,1467-2715,1472-6033,,3,Education
Critical Discourse Studies,Taylor & Francis Online,1503,B,1740-5904,1740-5912,,3,Education
Critical Perspectives on International Business,Emerald Group Publishing,1503,B,1742-2043,1758-6062,,3,Education
Cross Cultural & Strategic Management,Emerald Publishing,1503,B,2059-5794,,,3,Education
Cultural Diversity and Ethnic Minority Psychology,American Psychological Association,1503,B,1099-9809,1939-0106,,3,Education
Cultural Trends,Taylor & Francis Online,1504,B,1469-3690,0954-8963,,3,
Culture and Organization,Taylor & Francis Online,1503,B,1475-9551,1477-2760,,3,Education
Current Issues in Auditing,American Accounting Association,1501,B,,1936-1270,,3,
Curtin Law and Taxation Review,Curtin Law School,180105,B,2203-5028,,,3,
Customer Needs and Solutions,Springer Nature,1505,B,2196-291X,2196-2928,,3,
Decisions in Economics and Finance,Springer International Publishing,1402,B,1593-8883,1129-6569,,3,
Defence and Peace Economics,Taylor & Francis Online,1402,B,1024-2694,1476-8267,,3,
Developing Economies,Wiley-Blackwell Publishing,1402,B,0012-1533,1746-1049,,3,
Development and Change,Wiley-Blackwell Publishing,1402,B,0012-155X,1467-7660,,3,
Development Policy Review,Wiley-Blackwell Publishing,1402,B,0950-6764,1467-7679,,3,
"Digital Policy, Regulation and Governance",Emerald Publishing,806,B,2398-5046,2398-5038,,3,Information Systems
Duke Law Journal,Duke University Press,180105,B,0012-7086,,,3,
Dynamic Games and Applications,Springer International Publishing,1401,B,2153-0785,2153-0793,,3,
E-Service Journal,Indiana University Press,1503,B,1528-8226,1528-8234,,3,Education
Eastern Economic Journal,Springer International Publishing,1402,B,0094-5056,1939-4632,,3,
Eastern European Economics,Taylor & Francis Online,1402,B,0012-8775,1557-9298,,3,
EC Tax Review,Kluwer Law International,180125,B,0928-2750,,,3,
Econ Journal Watch,Fraser Institute,1402,B,1933-527X,,,3,
Econometrics,MDPI,1403,B,2225-1146,,,3,
Econometrics and Statistics,Elsevier,1403,B,2452-3062,,,3,
"Economia, the Journal of Latin American and Caribbean Economic Association (LACEA)",Brookings Press,1402,B,1529-7470,1533-6239,,3,
Economic Analysis and Policy,Elsevier,1402,B,0313-5926,2204-2296,,3,
Economic and Political Weekly,Sameeksha Trust,1402,B,0012-9976,2349-8846,,3,
Economic and Social Review,Economic and Social Studies Ltd,1402,B,0012-9984,,,3,
Economic Change and Restructuring,Springer International Publishing,1402,B,1573-9414,1574-0277,,3,
Economic Development Quarterly,Sage Publications,1402,B,0891-2424,1552-3543,,3,
Economic Issues,Nottingham Trent University,1402,B,1363-7029,,,3,
Economic Notes,Wiley-Blackwell Publishing,1402,B,0391-5026,1468-0300,,3,
Economic Papers: A journal of applied economics and policy,Wiley-Blackwell Publishing,1402,B,,1759-3441,,3,
Economic Quarter / Trimestre Economico,Fondo de Cultura Economica (Economic Culture Fund),1402,B,0041-3011,2448-718X,,3,
Economic Review / Revue Economique,Presses de Sciences Po,1402,B,0035-2764,1950-6694,,3,
Economic Systems,Elsevier Science,1499,B,0939-3625,1878-5433,,3,
Economic Systems Research,Taylor & Francis Online,1499,B,0953-5314,1469-5758,,3,
Economic Theory Bulletin,Springer International Publishing,1401,B,2196-1085,2196-1093,,3,
Economics of Energy & Environmental Policy,The International Association for Energy Economics,1402,B,2160-5882,2160-5890,,3,
Economics of Governance,Springer International Publishing,1402,B,1435-6104,1435-8131,,3,
Economics of Innovation and New Technology,Taylor & Francis Online,1402,B,1043-8599,1476-8364,,3,
Economics of Transportation,Elsevier,1507,B,2212-0122,,,3,
"Economics: The Open Access, Open Assessment E-journal",Universitaet Kiel,1402,B,1864-6042,,,3,
Economists' Voice,De Gruyter ,1402,B,2194-6167,1553-3832,,3,
Education Economics,Taylor & Francis Online,1402,B,0964-5292,1469-5782,,3,
Educational Management Administration & Leadership,Sage Publications,1503,B,1741-1432,1741-1440,,3,Education
Electronic Journal of IS Evaluation,Academic Conferences and Publishing International,806,B,1566-6379,,,3,Information Systems
Emergence: complexity and organization,ISCE Publishing,1503,B,1521-3250,,,3,Education
Emerging Markets Finance and Trade,Taylor & Francis Online,1502,B,1540-496X,1558-0938,,3,
Employee Relations,Emerald Group Publishing,1503,B,0142-5455,1758-7069,,3,Education
Employee Relations Law Journal,"Aspen Publishers, Inc.",180105,B,0098-8898,,,3,
Engineering Economics,Kaunas University of Technology,1402,B,1392-2785,2029-5839,,3,
Entertainment Law Review,Sweet & Maxwell,180105,B,0959-3799,,,3,
Entrepreneurship Research Journal,Walter de Gruyter GmbH,1503,B,2194-6175,2157-5665,,3,Education
Environment and Development Economics,Cambridge University Press,1402,B,1355-770X,1469-4395,,3,
Environment and Planning C: Politics and space,Sage Publications,1599,B,0263-774X,,,3,
Environmental and Planning Law Journal,Thomson Reuters,180105,B,0813-300X,,,3,
Environmental Economics and Policy Studies,Springer International Publishing,1402,B,1432-847X,1867-383X,,3,
Environmental Innovation and Societal Transitions,Elsevier,1599,B,,2210-4224,,3,
Environmetrics,"John Wiley & Sons, Inc.",104,B,1180-4009,1099-095X,,3,
"Equality, Diversity and Inclusion",Emerald Group Publishing,1503,B,2040-7149,2040-7157,,3,Education
Essays in Economic & Business History,The Economic and Business History Society,1402,B,0896-226X,2376-9459,,3,
Eurasian Geography and Economics,Taylor & Francis Online,1499,B,1538-7216,1938-2863,,3,
EURO Journal on Transportation and Logistics,Springer International Publishing,1507,B,2192-4376,2192-4384,,3,
European Actuarial Journal,Springer International Publishing,1502,B,2190-9733,2190-9741,,3,
European Business Organization Law Review,Springer Nature,180105,B,1566-7529,1741-6205,,3,
European Business Review,Emerald Group Publishing,1503,B,0955-534X,1758-7107,http://www.emeraldinsight.com/loi/ebr,3,Education
European Journal of Communication,Sage Publications,1503,B,0267-3231,1460-3705,http://ejc.sagepub.com/,3,Education
European Journal of Comparative Economics,European Association for Comparative Economics Systems / LIUC University Press,1499,B,1824-2979,,,3,
European Journal of Development Research,Springer International Publishing,1402,B,0957-8811,1743-9728,http://www.springer.com/social+sciences/journal/41287/PSE,3,
European Journal of Population,Springer International Publishing,1503,B,0168-6577,1572-9885,,3,Education
European Journal of Psychological Assessment,Hogrefe Publishing Corp,1503,B,1015-5759,2151-2426,,3,Education
European Journal of Public Health,Oxford University Press,1503,B,1101-1262,1464-360X,http://eurpub.oxfordjournals.org/,3,Education
European Journal of the History of Economic Thought,Taylor & Francis Online,1401,B,0967-2567,1469-5936,http://www.tandfonline.com/rejh,3,
European Journal of Transport and Infrastructure Research,Delft University of Technology,1507,B,1567-7133,1567-7141,http://www.tbm.tudelft.nl/index.php?id=105305,3,
European Law Journal,Wiley-Blackwell Publishing,180105,B,1351-5993,1468-0386,,3,
European Management Journal,Elsevier,1503,B,0263-2373,1873-5681,,3,Education
European Taxation,International Bureau of Fiscal Documentation,180125,B,0014-3138,,http://www.ibfd.org/,3,
Evaluation,Sage Publications,1503,B,1356-3890,1461-7153,,3,Education
Evidence-based HRM,Emerald Group Publishing,1503,B,2049-3983,2049-3991,,3,Education
Facilities,Emerald Group Publishing,1504,B,0263-2772,1758-7131,http://www.emeraldinsight.com/loi/f,3,
Faith and Economics,American Theological Libraries Association,1499,B,0896-307X,,http://www.gordon.edu/ace/ACEFandE.html,3,
Financial History Review,Cambridge University Press,1502,B,0968-5650,1474-0052,,3,
Financial Markets and Portfolio Management,Springer International Publishing,1502,B,1934-4554,2373-8529,,3,
"Financial Markets, Institutions and Instruments",Wiley-Blackwell Publishing,1502,B,0963-8008,1468-0416,,3,
Financial Services Review,Academy of Financial Services - Elsevier,1502,B,1057-0810,1873-5673,,3,
Finnish Economic Papers,Finnish Economic Association,1402,B,0784-5197,1798-7423,,3,
First Monday,University of Illinois Press,806,B,1396-0466,,,3,Information Systems
Fiscal Studies,Wiley-Blackwell Publishing,1402,B,0143-5671,1475-5890,,3,
Food Policy,Elsevier,1402,B,0306-9192,1873-5657,http://www.journals.elsevier.com/food-policy,3,
Fordham Journal of Corporate & Financial Law,Fordham Law School,180105,B,1532-303X,,,3,
Forest Policy and Economics,Elsevier,1402,B,1389-9341,1872-7050,,3,
Forum of International Development Studies,Nagoya University,1499,B,1341-3732,,http://ci.nii.ac.jp/,3,
Foundations and Trends in Finance,Now Publishers,1502,B,1567-2395,1567-2409,,3,
Futures,Elsevier,1503,B,0016-3287,1873-6378,http://www.journals.elsevier.com/futures/,3,Education
Games,MDPI,1401,B,2073-4336,,,3,
German Economic Review,Wiley-Blackwell Publishing,1402,B,1465-6485,1468-0475,,3,
German Journal of Human Resource Management,Sage Publications,1503,B,2397-0022,2397-0030,,3,Education
Global Economy Journal,Global Economy Journal,1402,B,2194-5659,1553-5304,,3,
"Global Knowledge, Memory and Communication",Emerald Group Publishing,806,B,2514-9342,2514-9350,,3,Information Systems
"Group Dynamics: theory, research and practice",American Psychological Association,1503,B,1089-2699,1930-7802,http://www.apa.org/pubs/journals/gdn/index.aspx,3,Education
Group Processes and Intergroup Relations,Sage Publications,1503,B,1368-4302,1461-7188,http://gpi.sagepub.com/,3,Education
Growth and Change,Wiley-Blackwell Publishing,1402,B,0017-4815,1468-2257,,3,
Hastings Business Law Journal,University of California Press,180105,B,1554-849X,1554-8503,http://www.heinonline.org/,3,
Health Care Management Science,Springer International Publishing,1503,B,1386-9620,1572-9389,,3,Education
Health Communication,Taylor & Francis Online,1503,B,1041-0236,1532-7027,http://www.tandfonline.com/hhth,3,Education
"Health Economics, Policy and Law",Cambridge University Press,1402,B,1744-1331,1744-134X,http://journals.cambridge.org/,3,
Health Marketing Quarterly,Taylor & Francis Online,1505,B,0735-9683,1545-0864,,3,
Health Policy and Technology,Elsevier,806,B,2211-8837,2211-8845,,3,Information Systems
History of Economic Ideas,Fabrizio Serra Editore,1499,B,1122-8792,1724-2169,,3,
History of Economics Review,Taylor & Francis Online,1401,B,1037-0196,1838-6318,,3,
